Poll,Date,Davis (D),Crist (R)
Rasmussen,11/5 - 11/5,42.8,49.6
SurveyUSA,11/2 - 11/4,43.2,49.6
Strategic Vision (R),11/2 - 11/4,42.8,49.8
Zogby,10/31 - 11/2,42.2,50.0
Mason-Dixon,10/31 - 11/1,43.0,50.0
Strategic Vision (R),10/29 - 10/31,42.8,50.2
Zogby Interactive*,10/23 - 10/27,42.8,49.4
Rasmussen,10/26 - 10/26,41.0,50.2
St. Petersburg Times,10/22 - 10/25,41.0,49.0
Strategic Vision (R),10/20 - 10/22,40.4,49.4
Quinnipiac,10/18 - 10/22,40.2,49.2
Cromer (D),10/16 - 10/21,39.6,50.8
Rasmussen,10/17 - 10/17,41.0,50.6
Mason-Dixon,10/16 - 10/17,40.8,52.4
Zogby Interactive*,10/10 - 10/16,39.0,52.6
SurveyUSA,10/7 - 10/9,38.2,52.8
Quinnipiac,10/3 - 10/8,37.4,52.0
Rasmussen,10/2 - 10/2,36.8,51.4
Zogby,9/26 - 9/28,36.0,50.6
McLaughlin & Associates (R),9/24 - 9/25,38.6,50.2
Zogby Interactive*,9/19 - 9/25,39.2,49.0
Strategic Vision (R),9/22 - 9/24,40.0,48.8
Mason-Dixon,9/20 - 9/22,39.2,49.0
Research 2000,9/18 - 9/20,40.2,47.8
Rasmussen,9/19 - 9/19,39.8,47.8
SurveyUSA,9/11 - 9/13,39.6,49.2
Zogby Interactive*,8/29 - 9/5,39.8,48.8
Rasmussen,8/28 - 8/28,40.2,47.4
Strategic Vision (R),8/25 - 8/27,39.8,48.2
Zogby Interactive*,8/15 - 8/21,38.0,48.0
Rasmussen,7/26 - 7/26,38.0,45.8
Quinnipiac,7/19 - 7/24,37.8,46.2
Strategic Vision (R),7/21 - 7/23,37.2,47.2
Mason-Dixon,7/19 - 7/21,36.4,47.2
Quinnipiac,6/20 - 6/26,38.0,45.0
Strategic Vision (R),6/23 - 6/25,38.2,46.4
Rasmussen,6/22 - 6/22,37.8,45.4
Rasmussen,6/22 - 6/22,38.6,44.8
Quinnipiac,5/15 - 5/22,38.2,43.8
Strategic Vision (R),5/19 - 5/21,38.0,43.8
Rasmussen,5/15 - 5/15,37.6,43.6
Strategic Vision (R),4/21 - 4/23,35.8,44.0
Rasmussen,4/17 - 4/17,35.2,42.8
Quinnipiac,4/11 - 4/17,36.4,43.2
Strategic Vision (R),3/24 - 3/26,36.0,44.2
Mason-Dixon,3/21 - 3/23,35.4,42.0
Quinnipiac,2/15 - 2/20,37.0,41.8
Strategic Vision (R),2/17 - 2/19,38.0,41.4
Rasmussen,2/6 - 2/6,38.2,40.0
Rasmussen,1/3 - 1/3,38.5,39.5
Strategic Vision (R),11/25 - 11/28,39.7,40.7
Rasmussen,11/14 - 11/14,40.5,38.5
Quinnipiac,11/8 - 11/13,40.0,39.0
