Poll,Date,Spitzer (D),Faso (R)
Siena,10/30 - 11/1,68.4,23.8
Marist,10/30 - 11/1,67.4,24.2
Zogby Interactive*,10/23 - 10/27,67.2,23.8
Marist,10/16 - 10/19,69.2,22.6
Quinnipiac,10/11 - 10/16,68,21.8
Zogby Interactive*,10/10 - 10/16,65.8,21.8
Siena,10/9 - 10/12,67.4,20.8
Quinnipiac,9/26 - 10/1,66,21.6
CBS News/NY Times,9/24 - 9/27,64.4,20.8
Zogby Interactive*,9/19 - 9/25,65,21.8
Siena,9/13 - 9/14,66.2,21.8
Zogby Interactive*,8/29 - 9/5,64.3,22
Quinnipiac,8/15 - 8/21,66,20
Marist,8/7 - 8/18,67,23
