Poll,Date,Webb (D),Allen (R)
SurveyUSA,11/3 - 11/5,48.8,46.6
Mason-Dixon,11/1 - 11/3,47.8,46.4
USA Today/Gallup,11/1 - 11/3,48.6,46.6
Rasmussen,11/2 - 11/2,47.8,45.8
Rasmussen,10/29 - 10/29,48.2,45.4
Garin Hart Yang (D),10/26 - 10/29,47.6,46.2
CNN,10/26 - 10/29,47.4,47.4
Roanoke College,10/22 - 10/29,46.8,47.0
Zogby Interactive*,10/23 - 10/27,47.8,48.0
Rasmussen,10/24 - 10/24,46.8,48.4
SurveyUSA,10/22 - 10/24,46.6,48.2
LA Times/Bloomberg,10/20 - 10/23,44.8,48.0
Zogby Interactive *,10/10 - 10/16,44.0,49.0
Rasmussen,10/12 - 10/12,43.6,48.6
Washington Post,10/10 - 10/12,43.2,48.8
Reuters/Zogby,9/25 - 10/2,42.4,47.6
Rasmussen,9/28 - 10/1,43.8,47.8
USA Today/Gallup,9/27 - 10/1,44.0,47.8
SurveyUSA,9/26 - 9/28,44.0,47.8
Mason-Dixon,9/23 - 9/27,43.6,47.0
SurveyUSA,9/24 - 9/26,45.0,47.0
Zogby Interactive*,9/19 - 9/25,45.8,46.6
SurveyUSA,9/10 - 9/12,46.0,46.4
Mason-Dixon,9/5 - 9/7,45.4,46.2
Zogby Interactive*,8/29 - 9/5,43.4,46.6
Zogby Interactive*,8/15 - 8/21,41.2,48.0
SurveyUSA,8/18 - 8/20,39.0,48.0
Rasmussen,8/16 - 8/16,37.4,49.6
Mason-Dixon,7/25 - 7/27,36.8,49.4
Rasmussen,7/18 - 7/18,38.6,50.0
Zogby,7/12 - 7/15,36.8,50.0
SurveyUSA,6/25 - 6/27,36.8,50.4
Benenson Strategy (D),6/22 - 6/27,34.6,50.6
Rasmussen,6/14 - 6/14,33.5,51.8
Rasmussen,4/11 - 4/11,31.0,52.0
Rasmussen,2/8 - 2/8,31.5,53.0
Rasmussen,12/7 - 12/7,26.0,57.0
