Poll,Date,Perdue (D),McCrory (R)
PPP (D),10/31 - 11/2,47.6,45.2
SurveyUSA,10/30 - 11/2,46.6,44.4
Research 2000,10/28 - 10/30,46.2,43.8
Civitas/TelOpinion (R),10/27 - 10/29,45.8,45.2
PPP (D),10/25 - 10/26,45.6,45.4
Associated Press/GfK,10/22 - 10/26,44.8,45.8
Mason-Dixon,10/22 - 10/24,44.6,45.6
Rasmussen,10/23 - 10/23,45.0,45.6
WSOC-TV,10/20 - 10/21,45.2,44.0
SurveyUSA,10/18 - 10/20,45.4,44.0
Civitas/TelOpinion (R),10/18 - 10/20,45.0,43.4
PPP (D),10/18 - 10/19,45.6,43.4
Research 2000,10/14 - 10/15,45.0,43.8
PPP (D),10/11 - 10/12,44.6,43.8
Civitas/TelOpinion (R),10/6 - 10/8,44.8,45.0
WSOC-TV,10/6 - 10/7,44.8,45.2
SurveyUSA,10/5 - 10/6,43.8,45.2
PPP (D),10/4 - 10/5,43.6,44.6
Rasmussen,9/30 - 9/30,42.8,45.4
PPP (D),9/27 - 9/28,41.8,43.4
Civitas/TelOpinion (R),9/17 - 9/20,41.8,44.4
PPP (D),9/17 - 9/19,42.8,45.0
Research 2000,9/8 - 9/10,42.6,44.0
PPP (D),9/9 - 9/9,42.8,42.8
SurveyUSA,9/6 - 9/8,44.8,43.8
Democracy Corps (D),8/20 - 8/26,46.0,42.8
PPP (D),8/20 - 8/23,46.0,41.0
Civitas/TelOpinion (R),8/14 - 8/17,46.0,41.4
Rasmussen,8/13 - 8/13,46.8,42.4
SurveyUSA,8/9 - 8/11,45.0,41.6
PPP (D),7/23 - 7/27,44.2,41.0
Civitas/TelOpinion (R),7/14 - 7/16,44.4,42.8
SurveyUSA,7/12 - 7/14,44.4,42.6
PPP (D),6/26 - 6/29,45.4,42.4
Civitas/TelOpinion (R),6/11 - 6/13,45.6,42.6
Rasmussen,6/10 - 6/10,46.0,43.4
PPP (D),5/28 - 5/29,44.4,43.2
SurveyUSA,5/17 - 5/19,44.8,43.8
Civitas/TelOpinion (R),5/14 - 5/17,43.0,43.5
PPP (D),5/8 - 5/9,43.0,44.0
Rasmussen,5/8 - 5/8,42.0,43.5
Rasmussen,3/20 - 3/20,45.0,42.0
