Poll,Date,Gregoire (D),Rossi (R)
Strategic Vision (R),10/31 - 11/2,50.2,47.4
SurveyUSA,10/30 - 11/2,50.4,46.8
The Washington Poll,10/27 - 10/31,50.0,47.2
SurveyUSA,10/26 - 10/27,50.2,45.4
Strategic Vision (R),10/25 - 10/26,49.8,45.2
The Washington Poll,10/18 - 10/26,49.6,45.4
Rasmussen,10/22 - 10/22,49.4,46.0
Elway Poll,10/16 - 10/19,48.6,46.0
SurveyUSA,10/12 - 10/13,47.6,48.6
Rasmussen,10/2 - 10/2,47.4,48.8
SurveyUSA,9/21 - 9/22,47.8,48.8
Strategic Vision (R),9/14 - 9/16,47.8,48.4
Rasmussen,9/10 - 9/10,49.0,46.0
SurveyUSA,9/5 - 9/7,49.2,44.6
SurveyUSA,8/11 - 8/12,49.6,44.2
Rasmussen,8/6 - 8/6,48.6,43.6
Elway Poll,7/27 - 7/31,49.0,43.2
Strategic Vision (R),7/25 - 7/27,48.0,43.8
SurveyUSA,7/13 - 7/15,48.6,43.4
Moore Info. (R),7/9 - 7/10,48.8,43.6
Rasmussen,7/9 - 7/9,50.2,42.8
Elway Poll,6/18 - 6/22,48.4,41.6
Rasmussen,6/9 - 6/9,49.0,43.0
SurveyUSA,6/7 - 6/9,48.6,43.8
Rasmussen,5/12 - 5/12,48.0,43.6
Elway Poll,4/21 - 4/22,46.8,44.8
SurveyUSA,4/14 - 4/16,47.6,45.6
SurveyUSA,4/7 - 4/7,47.0,45.5
Rasmussen,3/27 - 3/27,46.7,45.0
Rasmussen,2/28 - 2/28,46.5,44.5
U. of Washington,10/22 - 10/29,47.0,42.0
