Poll,Date,Begich (D),Stevens (R)
Research 2000,10/28 - 10/30,50.4,44.0
Rasmussen,10/28 - 10/28,48.6,45.8
Ivan Moore Res.,10/17 - 10/19,47.8,46.2
Research 2000,10/14 - 10/16,48.0,45.8
Rasmussen,10/6 - 10/6,48.4,45.4
Ivan Moore Res.,10/3 - 10/6,48.4,44.8
Ivan Moore Res.,9/20 - 9/22,48.4,45.0
Fairleigh Dickinson,9/17 - 9/21,48.8,43.2
Research 2000,9/15 - 9/17,49.8,43.4
Rasmussen,9/9 - 9/9,49.2,43.6
Ivan Moore Res.,8/30 - 9/2,48.4,43.6
Rasmussen,7/30 - 7/30,48.0,43.4
Rasmussen,7/17 - 7/17,47.6,44.6
Research 2000,7/14 - 7/16,46.2,45.0
Rasmussen,6/16 - 6/16,46.2,44.2
Rasmussen,5/14 - 5/14,46.8,43.8
Research 2000,5/12 - 5/14,46.7,43.3
Rasmussen,4/7 - 4/7,46.0,43.5
Research 2000,12/3 - 12/6,47.0,41.0
