Poll,Date,Udall (D),Schaffer (R)
PPP (D),10/28 - 10/30,51.8,38.8
CNN/Time,10/23 - 10/28,50.8,39.4
National Journal/FD,10/23 - 10/27,49.2,37.6
Associated Press/GfK,10/22 - 10/26,49.8,38.4
Rocky Mtn News/CBS4,10/21 - 10/23,50.0,39.0
Rasmussen,10/16 - 10/16,48.4,39.0
Suffolk,10/10 - 10/13,47.4,39.0
Quinnipiac/WSJ/WP,10/8 - 10/12,47.4,39.8
PPP (D),10/8 - 10/10,46.2,39.8
Denver Post/Mason-Dixon,9/29 - 10/1,46.0,40.0
Rasmussen,9/23 - 9/23,45.6,40.0
Ciruli Assoc.,9/19 - 9/23,44.2,37.4
PPP (D),9/20 - 9/21,44.6,37.2
Quinnipiac/WSJ/WP,9/14 - 9/21,45.0,37.6
National Journal/FD,9/11 - 9/15,45.4,38.0
Suffolk,8/21 - 8/24,46.0,38.0
Mason-Dixon,8/13 - 8/15,47.0,40.6
Rasmussen,8/13 - 8/13,47.4,42.4
Rasmussen,8/13 - 8/13,46.8,41.6
Rocky Mtn News/CBS4,8/11 - 8/13,46.6,41.2
Quinnipiac/WSJ/WP.com,7/14 - 7/22,47.2,41.8
Rasmussen,7/21 - 7/21,47.6,41.6
PPP (D),7/9 - 7/10,46.6,38.8
Rasmussen,6/17 - 6/17,45.8,40.0
Rasmussen,5/19 - 5/19,44.2,40.4
Rasmussen,3/17 - 3/17,44.4,40.4
McLaughlin & Associates (R),3/6 - 3/8,42.4,38.8
Rasmussen,2/11 - 2/11,42.0,40.5
Rasmussen,11/28 - 11/28,41.7,39.3
SurveyUSA,10/27 - 10/30,42.0,38.0
Ciruli Assoc.,9/12 - 9/15,36.0,35.0
