Poll,Date,Lunsford (D),McConnell (R)
SurveyUSA,10/29 - 11/1,43.6,49.6
Rasmussen,10/29 - 10/29,43.2,48.4
Research 2000,10/27 - 10/29,44.0,47.8
Courier-Journal,10/27 - 10/29,43.6,47.6
Rasmussen,10/21 - 10/21,43.6,48.4
Research 2000,10/19 - 10/21,43.8,47.4
SurveyUSA,10/18 - 10/20,44.4,47.8
Research 2000,10/14 - 10/16,42.2,48.2
Rasmussen,9/30 - 9/30,40.8,49.4
Mason-Dixon,9/22 - 9/25,40.4,49.6
SurveyUSA,9/21 - 9/22,39.2,50.4
Research 2000,9/15 - 9/17,38.4,51.0
VC Research (R)*,9/7 - 9/9,39.2,50.6
SurveyUSA,8/9 - 8/11,40.0,50.2
Research 2000,7/28 - 7/30,41.2,49.8
Rasmussen,7/29 - 7/29,43.4,48.8
Rasmussen,6/25 - 6/25,42.8,48.4
VC Research (R)*,6/15 - 6/17,41.8,48.4
SurveyUSA,6/13 - 6/16,41.4,48.8
Rasmussen,5/22 - 5/22,40.2,48.5
VC Research (R)*,5/21 - 5/22,37.3,50.0
Research 2000,5/7 - 5/9,36.5,50.0
VC Research (R)*,1/6 - 1/9,37.0,52.0
