Poll,Date,Hagan (D),Dole (R)
PPP (D),10/31 - 11/2,49.6,44.8
SurveyUSA,10/30 - 11/2,48.4,44.6
Mason-Dixon,10/29 - 10/30,49.0,44.8
Research 2000,10/28 - 10/30,49.0,44.2
Rasmussen,10/29 - 10/29,48.6,44.2
Civitas/TelOpinion (R),10/27 - 10/29,47.6,43.6
CNN/Time,10/23 - 10/28,47.0,44.2
National Journal/FD,10/23 - 10/27,45.2,44.0
PPP (D),10/25 - 10/26,45.0,43.6
Associated Press/GfK,10/22 - 10/26,44.6,43.6
NBC/Mason-Dixon,10/22 - 10/24,45.0,43.4
WSOC-TV,10/20 - 10/21,46.4,43.2
Civitas/TelOpinion (R),10/18 - 10/20,46.8,43.4
SurveyUSA,10/18 - 10/20,47.8,44.0
PPP (D),10/18 - 10/19,47.6,43.4
Research 2000,10/14 - 10/15,46.6,43.6
PPP (D),10/11 - 10/12,45.4,43.4
Rasmussen,10/8 - 10/8,46.0,42.6
Civitas/TelOpinion (R),10/6 - 10/8,45.4,41.4
WSOC-TV,10/6 - 10/7,46.0,42.0
SurveyUSA,10/5 - 10/6,45.4,42.0
PPP (D),10/4 - 10/5,46.0,41.4
PPP (D),9/27 - 9/28,46.4,42.4
Rasmussen,9/23 - 9/23,45.6,44.4
Civitas/TelOpinion (R),9/17 - 9/20,44.6,43.8
PPP (D),9/17 - 9/19,44.4,44.8
Rasmussen,9/18 - 9/18,45.2,45.6
Research 2000,9/8 - 9/10,43.4,44.4
PPP (D),9/9 - 9/9,43.0,42.8
SurveyUSA,9/6 - 9/8,42.6,43.2
Democracy Corps (D),8/20 - 8/26,42.8,42.8
PPP (D),8/20 - 8/23,41.2,43.8
InsiderAdvantage,8/19 - 8/19,40.8,45.8
Civitas/TelOpinion (R),8/14 - 8/17,40.4,47.2
SurveyUSA,8/9 - 8/11,40.8,49.2
Research 2000,7/28 - 7/30,41.0,50.8
PPP (D),7/23 - 7/27,40.0,51.0
Civitas/TelOpinion (R),7/14 - 7/16,39.6,50.8
Rasmussen,7/15 - 7/15,39.8,52.0
SurveyUSA,7/12 - 7/14,39.0,50.6
PPP (D),6/26 - 6/29,39.8,49.8
Civitas/TelOpinion (R),6/11 - 6/13,41.0,48.6
Rasmussen,6/10 - 6/10,42.0,48.6
PPP (D),5/28 - 5/29,43.8,47.4
SurveyUSA,5/17 - 5/19,44.2,47.6
Civitas/TelOpinion (R),5/14 - 5/17,42.8,48.0
PPP (D),5/8 - 5/9,41.2,50.0
Rasmussen,5/8 - 5/8,40.4,49.6
Research 2000,4/28 - 4/30,38.5,50.2
Rasmussen,4/10 - 4/10,37.7,51.0
Rasmussen,12/19 - 12/19,37.0,50.5
Research 2000,12/16 - 12/18,39.0,46.0
