Poll,Date,Lautenberg (D),Zimmer (R)
Monmouth/Gannett,10/29 - 10/31,51.8,36.0
SurveyUSA,10/29 - 10/30,51.4,38.0
Fairleigh Dickinson,10/23 - 10/29,52.0,37.2
Research 2000,10/26 - 10/28,52.0,38.0
Strategic Vision (R),10/24 - 10/26,51.0,37.8
Marist,10/20 - 10/21,51.4,37.0
Quinnipiac,10/16 - 10/19,51.8,35.6
Monmouth/Gannett,10/15 - 10/18,51.0,36.6
SurveyUSA,10/11 - 10/12,50.2,37.6
Rasmussen,10/7 - 10/7,49.8,38.4
Fairleigh Dickinson,9/29 - 10/5,49.0,39.0
SurveyUSA,9/27 - 9/28,48.2,39.4
Strategic Vision (R),9/26 - 9/28,47.6,39.6
Rasmussen,9/16 - 9/16,47.8,39.6
Strategic Vision (R),9/14 - 9/16,48.2,39.2
Monmouth/Gannett,9/11 - 9/14,48.0,38.2
Quinnipiac,9/10 - 9/14,48.8,37.4
Research 2000,9/9 - 9/11,48.8,37.8
Marist,9/5 - 9/8,49.6,37.2
Fairleigh Dickinson,9/4 - 9/7,48.4,36.6
Zogby,8/7 - 8/11,48.8,36.0
Quinnipiac,8/4 - 8/10,48.6,36.8
Rasmussen,8/4 - 8/4,48.0,34.2
Monmouth/Gannett,7/17 - 7/21,46.8,34.2
Strategic Vision (R),7/11 - 7/13,46.8,35.6
Rasmussen,7/7 - 7/7,46.5,36.5
Fairleigh Dickinson,6/17 - 6/22,45.7,36.7
Quinnipiac,6/5 - 6/8,46.0,41.0
Rasmussen,6/4 - 6/4,45.0,44.0
