Poll,Date,Obama (D),McCain (R)
MaristMarist,11/3 - 11/3,52,45.4
Battleground (Lake)*Battleground (Lake)*,11/2 - 11/3,52,45.6
Battleground (Tarrance)*Battleground (Tarrance)*,11/2 - 11/3,51.6,44.8
Rasmussen ReportsRasmussen Reports,11/1 - 11/3,51.8,43.8
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,11/1 - 11/3,52.4,43.4
IBD/TIPPIBD/TIPP,11/1 - 11/3,51.6,43.8
FOX NewsFOX News,11/1 - 11/2,51.4,43.4
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,11/1 - 11/2,52,44
GallupGallup,10/31 - 11/2,52.4,44.2
Diageo/HotlineDiageo/Hotline,10/31 - 11/2,52,44.6
CBS NewsCBS News,10/31 - 11/2,52.4,44.8
Ipsos/McClatchyIpsos/McClatchy,10/30 - 11/2,52.2,45.2
ABC News/Wash PostABC News/Wash Post,10/30 - 11/2,51.8,44.6
CNN/Opinion ResearchCNN/Opinion Research,10/30 - 11/1,51.6,44.4
Pew ResearchPew Research,10/29 - 11/1,51,43.8
GWU/BattlegroundGWU/Battleground,10/29 - 11/2,50,43.4
Gallup (Traditional)*Gallup (Traditional)*,10/30 - 11/1,50.4,42.8
Gallup (Expanded)*Gallup (Expanded)*,10/30 - 11/1,50.2,43.2
MaristMarist,10/29 - 10/29,50,43.8
FOX NewsFOX News,10/28 - 10/29,50,44.2
CBS News/NY TimesCBS News/NY Times,10/25 - 10/29,51.2,44
Ipsos/McClatchyIpsos/McClatchy,10/23 - 10/27,50.8,44.2
Rasmussen ReportsRasmussen Reports,10/24 - 10/26,50.8,44.2
Gallup (Traditional)*Gallup (Traditional)*,10/24 - 10/26,51,44
Gallup (Expanded)*Gallup (Expanded)*,10/24 - 10/26,51.6,42.6
Diageo/HotlineDiageo/Hotline,10/24 - 10/26,50.4,42.8
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,10/24 - 10/26,50.2,43.6
ABC News/Wash PostABC News/Wash Post,10/23 - 10/26,50.8,42.8
Pew ResearchPew Research,10/23 - 10/26,50.8,42.8
IBD/TIPPIBD/TIPP,10/22 - 10/26,50.2,44.4
GWU/BattlegroundGWU/Battleground,10/20 - 10/26,51,44.6
NewsweekNewsweek,10/22 - 10/23,50.8,44
Rasmussen ReportsRasmussen Reports,10/20 - 10/22,50.6,43.8
Gallup (Traditional)*Gallup (Traditional)*,10/20 - 10/22,51,43.4
Gallup (Expanded)*Gallup (Expanded)*,10/20 - 10/22,50,43
Diageo/HotlineDiageo/Hotline,10/20 - 10/22,49.6,43
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,10/20 - 10/22,49.8,42.4
ABC News/Wash PostABC News/Wash Post,10/19 - 10/22,49.8,42.2
IBD/TIPPIBD/TIPP,10/18 - 10/22,49.4,42
GWU/BattlegroundGWU/Battleground,10/16 - 10/22,49.2,41.8
FOX NewsFOX News,10/20 - 10/21,49.4,41.2
CBS News/NY TimesCBS News/NY Times,10/19 - 10/22,49.8,42.4
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/17 - 10/20,50,42.4
Associated Press/GfKAssociated Press/GfK,10/16 - 10/20,49.8,43
Ipsos/McClatchyIpsos/McClatchy,10/16 - 10/20,50.8,43.6
