Poll,Date,Dalton (D),McCrory (R)
PPP (D)*,11/3 - 11/4,38.2,51.8
PPP (D)*,10/29 - 10/31,37.0,51.8
SurveyUSA*,10/26 - 10/29,37.6,52.4
Elon University,10/21 - 10/26,37.8,51.2
Rasmussen Reports,10/25 - 10/25,37.8,51.2
PPP (D)*,10/23 - 10/25,37.4,50.4
Rasmussen Reports,10/17 - 10/17,37.6,51.2
PPP (D)*,10/12 - 10/14,36.6,50.0
Rasmussen Reports,10/9 - 10/9,37.0,51.0
Gravis Marketing,10/6 - 10/8,37.0,50.4
Rasmussen Reports,10/2 - 10/2,38.0,50.6
PPP (D)*,9/27 - 9/30,38.2,50.8
NBC/WSJ/Marist,9/23 - 9/25,38.6,50.4
Civitas (R)*,9/18 - 9/19,38.2,50.4
Rasmussen Reports,9/13 - 9/13,38.2,49.6
SurveyUSA/Civitas (R)*,9/4 - 9/6,38.8,48.6
PPP (D)*,8/31 - 9/2,38.4,47.0
Elon Univ./Charlotte Observer,8/25 - 8/30,37.8,46.6
PPP (D)*,8/2 - 8/5,39.2,45.4
Rasmussen Reports,8/1 - 8/1,38.6,46.2
Civitas (R)*,7/16 - 7/18,38.6,45.6
PPP (D)*,7/5 - 7/8,39.2,45.6
SurveyUSA/Civitas (R)*,6/29 - 7/1,39.8,45.8
Rasmussen Reports,6/25 - 6/25,38.6,46.2
NBC News/Marist,6/24 - 6/25,39.8,46.4
PPP (D),6/7 - 6/10,39.6,47.0
SurveyUSA,5/18 - 5/21,38.8,46.6
Civitas (R),5/19 - 5/20,38.0,47.0
Rasmussen Reports,5/14 - 5/14,36.2,47.2
PPP (D),5/10 - 5/13,35.0,47.2
Rasmussen Reports,4/10 - 4/10,33.4,47.2
PPP (D),3/8 - 3/11,31.6,47.6
Civitas (R),2/27 - 2/28,30.8,48.0
PPP (D),1/27 - 1/29,31.3,47.7
PPP (D),9/30 - 10/3,29.5,46.5
PPP (D),3/17 - 3/20,27.0,47.0
