Poll,Date,Inslee (D),McKenna (R)
PPP (D),11/1 - 11/3,47.4,46.6
SurveyUSA,10/28 - 10/31,46.8,46.2
The Washington Poll,10/18 - 10/31,46.8,46.0
Elway Poll,10/18 - 10/21,46.4,45.6
Strategies 360 (D),10/17 - 10/20,47.0,44.6
The Washington Poll,10/1 - 10/16,47.0,44.4
Rasmussen Reports,10/14 - 10/14,46.4,43.4
SurveyUSA,10/12 - 10/14,46.8,43.2
SurveyUSA,9/28 - 9/30,47.0,43.4
Rasmussen Reports,9/26 - 9/26,46.0,42.2
Elway Poll,9/9 - 9/12,45.0,41.6
SurveyUSA,9/7 - 9/9,44.2,42.0
SurveyUSA,8/1 - 8/2,42.4,41.6
Elway Poll,7/18 - 7/22,40.6,41.2
SurveyUSA,7/16 - 7/18,39.6,42.0
PPP (D),6/14 - 6/17,39.8,42.0
Elway Poll,6/13 - 6/16,39.6,43.2
Strategies 360 (D),5/22 - 5/24,38.8,43.8
SurveyUSA,5/8 - 5/9,39.6,44.4
PPP (D),2/16 - 2/19,39.6,45.2
SurveyUSA,2/13 - 2/15,38.8,45.6
Elway Poll,2/7 - 2/9,38.6,44.6
SurveyUSA,1/12 - 1/16,39.2,44.8
SurveyUSA,11/21 - 11/23,40.0,44.4
The Washington Poll,10/10 - 10/30,40.0,43.6
SurveyUSA,9/21 - 9/22,40.6,44.4
Strategies 360 (D),9/11 - 9/14,41.2,44.5
SurveyUSA,6/24 - 6/26,42.0,44.0
PPP (D),5/12 - 5/15,39.5,44.0
SurveyUSA,4/27 - 4/28,41.0,48.0
