Poll,Date,Obama (D),Romney (R)
Politico/GWU/BattlegroundPolitico/GWU/Battleground,11/4 - 11/5,48.6,48.8
Rasmussen ReportsRasmussen Reports,11/3 - 11/5,49.2,48.8
IBD/TIPPIBD/TIPP,11/3 - 11/5,49.2,48.6
CNN/Opinion ResearchCNN/Opinion Research,11/2 - 11/4,48.8,48.2
GallupGallup,11/1 - 11/4,49,47.8
ABC News/Wash PostABC News/Wash Post,11/1 - 11/4,48.8,47.4
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,11/1 - 11/4,48,47.2
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,11/1 - 11/3,48,47
Pew ResearchPew Research,10/31 - 11/3,47.8,47
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/29 - 11/1,47.8,46.6
FOX NewsFOX News,10/28 - 10/30,47.6,46.6
CBS News/NY TimesCBS News/NY Times,10/25 - 10/28,47.4,46.2
Pew ResearchPew Research,10/24 - 10/28,47.6,46.4
National JournalNational Journal,10/25 - 10/28,47.2,46.4
NPRNPR,10/23 - 10/25,46.2,47
IBD/TIPPIBD/TIPP,10/22 - 10/27,46.2,46.8
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/22 - 10/25,46.8,47.2
Associated Press/GfKAssociated Press/GfK,10/19 - 10/23,47,47
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,10/18 - 10/21,47.4,47.4
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/17 - 10/20,48,46.8
CBS NewsCBS News,10/17 - 10/20,48.4,46.6
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,10/18 - 10/20,48.6,47
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/15 - 10/18,47.8,47
Hartford Courant/UConnHartford Courant/UConn,10/11 - 10/16,47.4,46.4
ABC News/Wash PostABC News/Wash Post,10/10 - 10/13,47.2,47
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/7 - 10/11,47,47
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,10/8 - 10/10,46.2,47.2
FOX NewsFOX News,10/7 - 10/9,46.4,47.6
Gallup TrackingGallup Tracking,10/4 - 10/10,46.4,47.4
Gallup TrackingGallup Tracking,10/4 - 10/10,46.8,47.4
Pew ResearchPew Research,10/4 - 10/7,47,47.6
Rasmussen TrackingRasmussen Tracking,10/4 - 10/6,47.8,46.8
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,10/5 - 10/7,48.4,46.4
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/1 - 10/4,48.8,46.8
Rasmussen TrackingRasmussen Tracking,10/1 - 10/3,48.8,46.4
Gallup TrackingGallup Tracking,9/27 - 10/3,49.2,45.8
CNN/Opinion ResearchCNN/Opinion Research,9/28 - 9/30,49.2,46.2
National JournalNational Journal,9/27 - 9/30,49,45.8
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,9/26 - 9/30,49.6,44.6
NPRNPR,9/26 - 9/30,49.6,44.8
ABC News/Wash PostABC News/Wash Post,9/26 - 9/29,49,44.6
QuinnipiacQuinnipiac,9/25 - 9/30,49,43.8
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,9/27 - 9/29,49.2,44.2
Politico/GWU/BattlegroundPolitico/GWU/Battleground,9/24 - 9/27,49.2,44.6
FOX NewsFOX News,9/24 - 9/26,48.8,44.4
BloombergBloomberg,9/21 - 9/24,48.4,44.4
Politico/GWU/BattlegroundPolitico/GWU/Battleground,9/16 - 9/20,47.6,45.2
National JournalNational Journal,9/15 - 9/19,48,44.8
Associated Press/GfKAssociated Press/GfK,9/13 - 9/17,47.6,45.2
Hartford Courant/UConnHartford Courant/UConn,9/11 - 9/18,47.6,45.2
Rasmussen TrackingRasmussen Tracking,9/14 - 9/16,48.4,45.6
Reason-Rupe/PSRAIReason-Rupe/PSRAI,9/13 - 9/17,49.6,44.8
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,9/13 - 9/16,48.8,44.4
Gallup TrackingGallup Tracking,9/11 - 9/17,49,44.6
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,9/12 - 9/16,49.6,44.4
Pew Research/PSRAIPew Research/PSRAI,9/12 - 9/16,49.6,44.6
FOX NewsFOX News,9/9 - 9/11,49,45
CBS News/NY TimesCBS News/NY Times,9/8 - 9/12,49.4,45
Democracy Corps (D)Democracy Corps (D),9/8 - 9/12,49.6,44.8
Esquire/Yahoo! NewsEsquire/Yahoo! News,9/7 - 9/10,49.4,45.4
Reuters/IpsosReuters/Ipsos,9/7 - 9/10,49.8,45.4
Gallup TrackingGallup Tracking,9/5 - 9/11,49.4,45.2
Rasmussen TrackingRasmussen Tracking,9/7 - 9/9,49,46.2
ABC News/Wash PostABC News/Wash Post,9/7 - 9/9,48.8,46.6
CNN/Opinion ResearchCNN/Opinion Research,9/7 - 9/9,48.2,46
IBD/CSM/TIPPIBD/CSM/TIPP,9/4 - 9/9,47,46.2
CNN/Opinion ResearchCNN/Opinion Research,8/31 - 9/3,47.2,46.4
Democracy Corps (D)Democracy Corps (D),8/23 - 8/27,46.8,46.2
CBS NewsCBS News,8/22 - 8/26,46.8,46.2
Gallup TrackingGallup Tracking,8/21 - 8/27,46.4,46.2
Rasmussen TrackingRasmussen Tracking,8/23 - 8/25,46.4,45.8
ABC News/Wash PostABC News/Wash Post,8/22 - 8/25,46.4,46
CNN/Opinion ResearchCNN/Opinion Research,8/22 - 8/23,46.8,45.4
FOX NewsFOX News,8/19 - 8/21,46.2,45
Resurgent Republic (R)Resurgent Republic (R),8/16 - 8/22,47,45.2
Associated Press/GfKAssociated Press/GfK,8/16 - 8/20,46.6,45.4
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,8/16 - 8/20,46.4,45.4
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,8/15 - 8/19,47.2,45.6
LA Times/USCLA Times/USC,8/13 - 8/19,47.6,46
Rasmussen ReportsRasmussen Reports,8/8 - 8/10,47.8,44.8
GallupGallup,8/6 - 8/12,48.2,43.4
CNN/Opinion ResearchCNN/Opinion Research,8/7 - 8/8,48.8,42.6
Politico/GWU/BattlegroundPolitico/GWU/Battleground,8/5 - 8/9,47.2,43
FOX NewsFOX News,8/5 - 8/7,47,42.6
IBD/CSM/TIPPIBD/CSM/TIPP,8/3 - 8/10,47.2,43.8
Reuters/IpsosReuters/Ipsos,8/2 - 8/6,48.2,44.2
Rasmussen ReportsRasmussen Reports,7/29 - 7/31,48.2,44.4
GallupGallup,7/24 - 7/31,48.4,43.2
Democracy Corps (D)Democracy Corps (D),7/21 - 7/25,48.2,43.6
Pew ResearchPew Research,7/16 - 7/26,47.2,43.4
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,7/18 - 7/22,46.4,44.2
FOX NewsFOX News,7/15 - 7/17,46,44.6
CBS News/NY TimesCBS News/NY Times,7/11 - 7/16,46.6,45.6
Rasmussen ReportsRasmussen Reports,7/12 - 7/14,45.8,44.8
GallupGallup,7/8 - 7/14,46.6,44.4
NPRNPR,7/9 - 7/12,46.6,44.8
McClatchy/MaristMcClatchy/Marist,7/9 - 7/11,46.4,44.4
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,7/6 - 7/8,45.8,44.2
Reuters/IpsosReuters/Ipsos,7/5 - 7/9,46.8,44.6
ABC News/Wash PostABC News/Wash Post,7/5 - 7/8,47,44.6
QuinnipiacQuinnipiac,7/1 - 7/8,47.4,44.4
Rasmussen ReportsRasmussen Reports,7/2 - 7/6,47.6,44.6
GallupGallup,7/1 - 7/8,48.4,44.8
Pew ResearchPew Research,6/28 - 7/9,48,43.8
CNN/Opinion ResearchCNN/Opinion Research,6/28 - 7/1,47.4,44
Newsweek/Daily BeastNewsweek/Daily Beast,6/28 - 6/28,46.2,44.2
