Poll,Date,Hickenlooper (D),Beauprez (R)
PPP (D)*,11/1 - 11/2,43.8,44.8
Quinnipiac*,10/28 - 11/2,44.0,45.4
YouGov,10/25 - 10/31,45.0,45.2
Denver Post/SurveyUSA*,10/27 - 10/29,45.4,45.0
Quinnipiac*,10/22 - 10/27,44.8,44.8
Rasmussen Reports,10/21 - 10/23,45.8,44.6
CBS News/NYT/YouGov,10/16 - 10/23,45.6,44.0
NBC News/Marist*,10/18 - 10/22,45.2,44.4
USA Today/Suffolk*,10/18 - 10/21,45.8,45.8
Quinnipiac*,10/15 - 10/21,45.6,46.0
Reuters/Ipsos,10/13 - 10/20,45.6,46.0
PPP (D),10/16 - 10/19,45.2,46.0
CNN/Opinion Research,10/9 - 10/13,44.4,45.2
Quinnipiac*,10/8 - 10/13,44.4,44.6
Denver Post/SurveyUSA*,10/9 - 10/12,46.0,44.6
High Point/SurveyUSA,10/4 - 10/8,45.6,44.0
FOX News,10/4 - 10/7,44.8,44.8
CBS News/NYT/YouGov,9/20 - 10/1,45.4,45.0
Rasmussen Reports,9/29 - 9/30,44.4,45.0
USA Today/Suffolk*,9/13 - 9/16,43.0,43.6
Quinnipiac*,9/10 - 9/15,43.4,44.4
Denver Post/SurveyUSA*,9/8 - 9/10,44.8,43.8
Rasmussen Reports,9/3 - 9/4,44.6,43.8
NBC News/Marist*,9/2 - 9/4,44.4,43.6
CBS News/NYT/YouGov,8/18 - 9/2,45.6,44.4
CBS News/NYT/YouGov,7/5 - 7/24,45.4,44.2
PPP (D),7/17 - 7/20,45.6,42.6
Quinnipiac,7/10 - 7/14,46.8,41.0
NBC News/Marist,7/7 - 7/10,47.8,39.8
Rasmussen Reports,6/25 - 6/26,47.5,39.0
Quinnipiac,4/15 - 4/21,48.7,37.3
Magellan Strategies (R),4/14 - 4/15,49.0,36.5
PPP (D),3/13 - 3/16,48.0,38.0
