Poll,Date,Democrats (D),Republicans (R)
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/30 - 11/1,44.6,46.4
Rasmussen ReportsRasmussen Reports,10/27 - 11/2,43.8,46.8
FOX NewsFOX News,10/25 - 10/27,44.2,46.4
CBS NewsCBS News,10/23 - 10/27,43.4,46.2
CNN/Opinion ResearchCNN/Opinion Research,10/24 - 10/26,41.4,44.2
ABC News/Wash PostABC News/Wash Post,10/23 - 10/26,41.4,44.2
USA Today/PSRAIUSA Today/PSRAI,10/23 - 10/26,40.8,42.4
Rasmussen ReportsRasmussen Reports,10/20 - 10/26,40.6,43.0
Associated Press/GfKAssociated Press/GfK,10/16 - 10/20,41.0,44.4
Pew ResearchPew Research,10/15 - 10/20,44.0,46.0
Rasmussen ReportsRasmussen Reports,10/13 - 10/19,42.6,44.8
FOX NewsFOX News,10/12 - 10/14,43.0,46.4
ABC News/Wash PostABC News/Wash Post,10/9 - 10/12,42.8,45.2
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/8 - 10/12,42.2,44.6
Rasmussen ReportsRasmussen Reports,10/6 - 10/12,42.0,44.4
CBS NewsCBS News,10/3 - 10/6,43.0,45.2
Rasmussen ReportsRasmussen Reports,9/29 - 10/5,43.8,44.4
FOX NewsFOX News,9/28 - 9/30,43.6,44.4
GallupGallup,9/25 - 9/30,43.6,43.0
McClatchy/MaristMcClatchy/Marist,9/24 - 9/29,42.8,43.4
CNN/Opinion ResearchCNN/Opinion Research,9/25 - 9/28,42.0,42.2
Rasmussen ReportsRasmussen Reports,9/22 - 9/28,40.6,42.6
Rasmussen ReportsRasmussen Reports,9/15 - 9/21,41.6,44.6
CBS News/NY TimesCBS News/NY Times,9/12 - 9/15,42.4,46.0
Rasmussen ReportsRasmussen Reports,9/8 - 9/14,42.8,45.6
FOX NewsFOX News,9/7 - 9/9,42.4,46.2
CNN/Opinion ResearchCNN/Opinion Research,9/5 - 9/7,42.8,46.0
ABC News/Wash PostABC News/Wash Post,9/4 - 9/7,41.8,44.4
Pew ResearchPew Research,9/2 - 9/9,42.4,43.4
Rasmussen ReportsRasmussen Reports,9/1 - 9/7,41.4,42.0
GWU/BattlegroundGWU/Battleground,8/23 - 8/28,41.4,41.6
Rasmussen ReportsRasmussen Reports,8/25 - 8/31,42.2,40.2
USA Today/Pew ResearchUSA Today/Pew Research,8/20 - 8/24,43.6,41.0
Rasmussen ReportsRasmussen Reports,8/18 - 8/24,42.6,40.8
Rasmussen ReportsRasmussen Reports,8/11 - 8/17,42.4,41.4
FOX NewsFOX News,8/10 - 8/12,42.4,41.6
GallupGallup,8/7 - 8/10,41.4,41.2
Reason-Rupe/PSRAIReason-Rupe/PSRAI,8/6 - 8/10,39.6,40.6
McClatchy/MaristMcClatchy/Marist,8/4 - 8/7,39.8,40.6
Rasmussen ReportsRasmussen Reports,8/4 - 8/10,40.4,39.8
CBS NewsCBS News,7/29 - 8/4,42.2,40.6
Rasmussen ReportsRasmussen Reports,7/28 - 8/3,43.4,42.2
FOX NewsFOX News,7/20 - 7/22,43.6,41.6
Rasmussen ReportsRasmussen Reports,7/21 - 7/27,42.8,41.0
CNN/Opinion ResearchCNN/Opinion Research,7/18 - 7/20,42.8,41.0
Pew ResearchPew Research,7/8 - 7/14,41.4,39.8
Rasmussen ReportsRasmussen Reports,7/14 - 7/20,40.0,38.4
Rasmussen ReportsRasmussen Reports,7/7 - 7/13,40.6,39.0
QuinnipiacQuinnipiac,6/24 - 6/30,41.2,39.2
Rasmussen ReportsRasmussen Reports,6/30 - 7/6,41.0,39.0
Rasmussen ReportsRasmussen Reports,6/23 - 6/29,40.6,38.8
FOX NewsFOX News,6/21 - 6/23,41.2,39.8
CBS News/NY TimesCBS News/NY Times,6/20 - 6/22,41.0,38.8
Rasmussen ReportsRasmussen Reports,6/16 - 6/22,40.4,39.6
Rasmussen ReportsRasmussen Reports,6/9 - 6/15,41.8,41.0
BloombergBloomberg,6/6 - 6/9,42.2,41.2
Rasmussen ReportsRasmussen Reports,6/2 - 6/8,42.0,40.2
FOX NewsFOX News,6/1 - 6/3,41.8,40.6
ABC News/Wash PostABC News/Wash Post,5/29 - 6/1,42.2,39.4
Rasmussen ReportsRasmussen Reports,5/26 - 6/1,41.4,38.4
Rasmussen ReportsRasmussen Reports,5/19 - 5/25,41.2,38.4
CBS NewsCBS News,5/16 - 5/19,41.8,40.0
Rasmussen ReportsRasmussen Reports,5/12 - 5/18,42.0,39.6
FOX NewsFOX News,5/10 - 5/13,43.6,41.0
Rasmussen ReportsRasmussen Reports,5/5 - 5/11,44.0,41.8
CNN/Opinion ResearchCNN/Opinion Research,5/2 - 5/4,44.6,43.6
Rasmussen ReportsRasmussen Reports,4/28 - 5/4,43.2,42.4
GallupGallup,4/24 - 4/30,43.0,43.2
ABC News/Wash PostABC News/Wash Post,4/24 - 4/27,41.4,43.2
USA Today/Pew ResearchUSA Today/Pew Research,4/23 - 4/27,40.4,42.0
Rasmussen ReportsRasmussen Reports,4/21 - 4/27,41.4,41.0
Rasmussen ReportsRasmussen Reports,4/14 - 4/20,41.8,40.8
FOX NewsFOX News,4/13 - 4/15,41.8,40.2
Rasmussen ReportsRasmussen Reports,4/7 - 4/13,41.6,38.6
McClatchy/MaristMcClatchy/Marist,4/7 - 4/10,41.4,38.6
Rasmussen ReportsRasmussen Reports,3/31 - 4/6,39.6,38.0
QuinnipiacQuinnipiac,3/26 - 3/31,40.4,38.8
Reason-Rupe/PSRAIReason-Rupe/PSRAI,3/26 - 3/30,41.0,39.8
Rasmussen ReportsRasmussen Reports,3/24 - 3/30,41.2,40.0
