Poll,Date,Udall (D),Gardner (R)
PPP (D)*,11/1 - 11/2,42.6,45.6
Quinnipiac*,10/28 - 11/2,42.6,46.2
YouGov,10/25 - 10/31,43.4,46.4
Denver Post/SurveyUSA*,10/27 - 10/29,44.0,47.0
Quinnipiac*,10/22 - 10/27,43.0,47.0
Rasmussen Reports,10/21 - 10/23,43.4,47.0
CBS News/NYT/YouGov,10/16 - 10/23,43.4,46.2
NBC News/Marist,10/18 - 10/22,42.8,46.4
USA Today/Suffolk*,10/18 - 10/21,43.0,47.2
Quinnipiac*,10/15 - 10/21,43.4,47.4
Reuters/Ipsos,10/13 - 10/20,43.8,47.2
PPP (D),10/16 - 10/19,43.2,47.0
CNN/Opinion Research,10/9 - 10/13,41.8,46.2
Quinnipiac*,10/8 - 10/13,42.2,45.2
Denver Post/SurveyUSA*,10/9 - 10/12,43.4,45.4
High Point/SurveyUSA,10/4 - 10/8,43.2,45.0
FOX News,10/4 - 10/7,42.8,45.4
CBS News/NYT/YouGov,9/20 - 10/1,44.6,45.2
Rasmussen Reports,9/29 - 9/30,43.8,44.6
USA Today/Suffolk*,9/13 - 9/16,44.0,43.4
Quinnipiac*,9/10 - 9/15,44.8,43.4
Denver Post/SurveyUSA*,9/8 - 9/10,47.0,43.2
Rasmussen Reports,9/3 - 9/4,46.6,43.4
NBC News/Marist,9/2 - 9/4,46.2,43.8
CBS News/NYT/YouGov,8/18 - 9/2,46.2,43.6
CBS News/NYT/YouGov,7/5 - 7/24,45.6,43.4
PPP (D),7/17 - 7/20,44.4,43.4
Quinnipiac,7/10 - 7/14,45.0,43.4
NBC News/Marist,7/7 - 7/10,45.6,43.4
Rasmussen Reports,6/25 - 6/26,45.0,43.6
Magellan Strategies (R),6/5 - 6/8,44.8,43.2
PPP (D),5/7 - 5/8,44.2,42.0
Quinnipiac,4/15 - 4/21,43.5,41.8
Magellan Strategies (R),4/14 - 4/15,43.0,41.0
PPP (D),3/13 - 3/16,42.0,40.5
Rasmussen Reports,3/5 - 3/6,42.0,41.0
