Poll,Date,Grimes (D),McConnell (R)
PPP (D)*,10/30 - 11/1,41.6,47.4
NBC News/Marist*,10/27 - 10/30,41.6,46.4
Courier-Journal/SurveyUSA*,10/25 - 10/29,42.2,46.8
CBS News/NYT/YouGov*,10/16 - 10/23,41.8,46.2
Courier-Journal/SurveyUSA*,10/15 - 10/19,43.2,46.0
Western Kentucky Univ.*,10/6 - 10/19,42.8,46.6
Rasmussen Reports,10/15 - 10/16,42.8,46.8
FOX News*,10/4 - 10/7,41.8,45.8
Courier-Journal/SurveyUSA*,9/29 - 10/2,41.8,46.0
CBS News/NYT/YouGov*,9/20 - 10/1,41.0,46.6
Reuters/Ipsos,9/8 - 9/12,42.0,47.2
NBC News/Marist*,9/2 - 9/4,42.0,47.2
Rasmussen Reports,9/1 - 9/2,42.6,47.2
CBS News/NYT/YouGov,8/18 - 9/2,43.6,48.0
CNN/Opinion Research,8/28 - 9/1,44.2,48.0
Courier-Journal/SurveyUSA*,8/25 - 8/27,44.8,47.2
PPP (D),8/7 - 8/10,44.6,47.6
CBS News/NYT/YouGov,7/5 - 7/24,45.0,47.6
Courier-Journal/SurveyUSA,7/18 - 7/23,44.4,46.0
Magellan Strategies (R),6/4 - 6/5,44.4,45.8
Rasmussen Reports,5/28 - 5/29,43.6,45.8
Wenzel Strategies (R),5/23 - 5/24,44.0,45.0
Courier-Journal/SurveyUSA*,5/14 - 5/16,43.6,44.2
NBC News/Marist,4/30 - 5/6,44.2,44.2
CEA/Hickman Analytics (D),4/24 - 4/30,43.6,43.4
NY Times/Kaiser,4/8 - 4/15,43.0,42.8
Wenzel Strategies (R),2/8 - 2/11,42.4,43.6
Courier-Journal/SurveyUSA,1/30 - 2/3,42.0,44.4
Rasmussen Reports,1/29 - 1/30,41.0,45.0
PPP (D),12/12 - 12/15,40.6,46.0
Wenzel Strategies (R),7/23 - 7/24,40.2,46.8
Wenzel Strategies (R),6/1 - 6/2,40.3,46.3
PPP (D),4/5 - 4/7,40.5,46.0
PPP (D),12/7 - 12/9,40.0,47.0
