Poll,Date,Warner (D),Gillespie (R)
Christopher Newport Univ.*,10/23 - 10/29,49.0,38.8
Roanoke College*,10/20 - 10/25,49.0,37.8
CBS News/NYT/YouGov*,10/16 - 10/23,49.4,38.2
Univ. of Mary Washington*,10/1 - 10/6,49.6,38.6
Christopher Newport Univ.*,9/29 - 10/5,50.0,37.0
CBS News/NYT/YouGov*,9/20 - 10/1,50.4,35.4
PPP (D),9/22 - 9/23,50.4,35.4
Quinnipiac,9/17 - 9/22,51.6,34.4
Roanoke College*,9/13 - 9/19,52.2,34.8
Christopher Newport Univ.*,9/2 - 9/7,51.8,33.4
CBS News/NYT/YouGov,8/18 - 9/2,51.8,34.4
Hampton University,7/27 - 7/30,50.8,32.8
CBS News/NYT/YouGov,7/5 - 7/24,51.0,32.2
Roanoke College*,7/14 - 7/19,50.4,29.6
Rasmussen Reports,6/11 - 6/12,51.2,32.6
Quinnipiac*,3/19 - 3/24,50.6,29.6
Roanoke College,2/22 - 2/28,51.6,30.0
Christopher Newport Univ.,1/15 - 1/22,50.5,30.2
Rasmussen Reports,1/20 - 1/21,50.7,30.3
Roanoke College,1/13 - 1/17,50.5,27.0
WFB/The Polling Company (R),11/19 - 11/20,51.0,33.0
