Poll,Date,Clinton (D),Trump (R)
BloombergBloomberg,11/4 - 11/6,45.4,42.8
IBD/TIPP TrackingIBD/TIPP Tracking,11/4 - 11/7,46.6,43.4
Economist/YouGovEconomist,11/4 - 11/7,47.4,43
ABC/Wash Post TrackingABC/WP Tracking,11/3 - 11/6,47.2,42.8
FOX NewsFOX News,11/3 - 11/6,46.2,42
MonmouthMonmouth,11/3 - 11/6,45.6,41.8
GravisGravis,11/3 - 11/6,44.6,41.2
NBC News/Wall St. JrnlNBC/WSJ,11/3 - 11/5,44,41.2
Reuters/IpsosReuters,11/2 - 11/6,44.2,41.8
Rasmussen ReportsRasmussen,11/2 - 11/6,45.2,43
CBS NewsCBS News,11/2 - 11/6,45.6,42.6
McClatchy/MaristMcClatchy,11/1 - 11/3,45.2,42.2
FOX NewsFOX News,11/1 - 11/3,45.6,42.6
GravisGravis,11/1 - 11/2,45.8,42.6
NBC News/SMNBC News,10/31 - 11/6,45.4,41
Reuters/IpsosReuters,10/31 - 11/4,45,41.2
GravisGravis,10/31 - 10/31,45.4,42.6
Economist/YouGovEconomist,10/30 - 11/1,45.2,42
Reuters/IpsosReuters,10/29 - 11/2,45,42.2
CBS News/NY TimesCBS/NYT,10/28 - 11/1,45.4,43
ABC/Wash Post TrackingABC/WP Tracking,10/27 - 10/30,45.6,43.6
Rasmussen ReportsRasmussen,10/26 - 10/30,45.6,43.2
IBD/TIPP TrackingIBD/TIPP Tracking,10/25 - 10/30,45.6,43
NBC News/SMNBC News,10/24 - 10/30,46.2,43
GravisGravis,10/25 - 10/26,46,43
Rasmussen ReportsRasmussen,10/24 - 10/26,45.6,42.2
IBD/TIPP TrackingIBD/TIPP Tracking,10/23 - 10/28,45,41.6
ABC/Wash Post TrackingABC/WP Tracking,10/23 - 10/26,45.2,41.4
Economist/YouGovEconomist,10/22 - 10/26,45.4,40.6
FOX NewsFOX News,10/22 - 10/25,44.8,39.2
IBD/TIPP TrackingIBD/TIPP Tracking,10/20 - 10/25,45.4,38.6
Pew ResearchPew,10/20 - 10/25,47.2,37.8
ABC News TrackingABC News Tracking,10/21 - 10/24,46.6,38.2
CNBCCNBC,10/21 - 10/24,45.2,37.8
USA Today/SuffolkUSA Today,10/20 - 10/24,46.6,38.6
Associated Press-GfKAP-GfK,10/20 - 10/24,45.6,39.2
Rasmussen ReportsRasmussen,10/20 - 10/24,45.2,40.6
Reuters/IpsosReuters,10/20 - 10/24,45.8,40.4
ABC News TrackingABC News Tracking,10/20 - 10/23,46.8,40.8
IBD/TIPP TrackingIBD/TIPP Tracking,10/19 - 10/24,45.2,40.8
CNN/ORCCNN/ORC,10/20 - 10/23,45.8,40.4
NBC News/SMNBC News,10/17 - 10/23,45.4,39.2
QuinnipiacQuinnipiac,10/17 - 10/18,44.6,38.6
Economist/YouGovEconomist,10/15 - 10/18,45.2,38.2
FOX NewsFOX News,10/15 - 10/17,46.2,38.2
BloombergBloomberg,10/14 - 10/17,46.4,38.4
Reuters/IpsosReuters,10/13 - 10/17,46.2,38
MonmouthMonmouth,10/14 - 10/16,46,39
CBS NewsCBS News,10/12 - 10/16,45.4,40
NBC News/SMNBC News,10/10 - 10/16,45.6,39.8
Boston GlobeBoston Globe,10/11 - 10/14,45.4,39.4
Rasmussen ReportsRasmussen,10/11 - 10/13,45.6,40
ABC News/Wash PostABC/WP,10/10 - 10/13,46.6,38.8
NBC News/Wall St. JrnlNBC/WSJ,10/10 - 10/13,46,37.6
FOX NewsFOX News,10/10 - 10/12,45.6,37.2
GWU/BattlegroundGWU/Battleground,10/8 - 10/13,45.4,37.4
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/10,44.8,37.2
Reuters/IpsosReuters,10/6 - 10/10,44.6,37.8
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/9,45,38.6
Rasmussen ReportsRasmussen,10/6 - 10/10,44.6,40
Economist/YouGovEconomist,10/7 - 10/8,44,40.6
QuinnipiacQuinnipiac,10/5 - 10/6,44,41.8
NBC News/SMNBC News,10/3 - 10/9,43.6,41.8
FOX NewsFOX News,10/3 - 10/6,42.8,40.8
Rasmussen ReportsRasmussen,10/2 - 10/4,43.4,40.8
GravisGravis,10/3 - 10/3,43.8,40.4
Economist/YouGovEconomist,10/1 - 10/3,44,39.8
