Poll,Date,Kander (D),Blunt (R)
EmersonEmerson,11/4 - 11/5,45.4,46.4
Remington Research (R)*Remington Research (R)*,10/31 - 11/1,45.0,46.2
EmersonEmerson,10/28 - 10/31,45.0,45.8
Monmouth*Monmouth*,10/28 - 10/31,44.4,44.8
St. Louis Post-DispatchSt. Louis Post-Dispatch,10/24 - 10/26,43.2,44.8
EmersonEmerson,10/17 - 10/19,42.6,45.0
Monmouth*Monmouth*,10/9 - 10/11,41.8,45.6
EmersonEmerson,9/9 - 9/13,41.6,45.8
Remington Research (R)Remington Research (R),9/1 - 9/2,40.8,46.0
Monmouth*Monmouth*,8/19 - 8/22,40.2,45.4
Remington Research (R)*Remington Research (R)*,8/5 - 8/6,38.6,43.8
St. Louis Post-DispatchSt. Louis Post-Dispatch,7/23 - 7/24,38.2,43.0
PPP (D)PPP (D),7/11 - 7/12,36.7,41.7
Missouri ScoutMissouri Scout,3/25 - 3/26,36.0,42.0
PPP (D)PPP (D),8/7 - 8/9,35.0,40.0
