Poll,Date,Feingold (D),Johnson (R)
Loras*Loras*,10/31 - 11/1,49.0,43.4
Marquette*Marquette*,10/26 - 10/31,49.2,43.6
EmersonEmerson,10/26 - 10/27,49.2,43.2
Monmouth*Monmouth*,10/15 - 10/18,47.4,43.4
WPR/St. NorbertWPR,10/13 - 10/16,47.6,42.8
MarquetteMarquette,10/6 - 10/9,47.6,43.2
CBS News/YouGovCBS/YouGov,10/5 - 10/7,47.4,42.2
LorasLoras,10/4 - 10/5,49.2,42.0
GravisGravis,10/4 - 10/4,50.8,42.0
EmersonEmerson,9/19 - 9/20,50.8,42.2
MarquetteMarquette,9/15 - 9/18,50.2,42.6
MonmouthMonmouth,8/27 - 8/30,50.8,41.8
MarquetteMarquette,8/25 - 8/28,50.2,42.0
MarquetteMarquette,8/4 - 8/7,50.8,41.2
MarquetteMarquette,7/7 - 7/10,49.8,41.6
PPP (D)*PPP (D)*,6/22 - 6/23,49.4,41.6
MarquetteMarquette,6/6 - 6/9,49.2,41.6
WPR/St. NorbertWPR,4/12 - 4/15,49.0,40.6
EmersonEmerson,3/30 - 4/3,48.6,40.0
MarquetteMarquette,3/24 - 3/28,49.2,39.2
MarquetteMarquette,2/18 - 2/21,49.8,37.6
MarquetteMarquette,1/21 - 1/24,49.4,38.6
MarquetteMarquette,11/12 - 11/15,50.2,38.8
WPR/St. NorbertWPR,10/14 - 10/17,50.4,39.4
MarquetteMarquette,9/24 - 9/28,50.0,39.8
MarquetteMarquette,8/13 - 8/16,50.4,41.0
MarquetteMarquette,4/7 - 4/10,51.2,40.8
PPP (D)PPP (D),3/6 - 3/8,50.3,41.7
PPP (D)PPP (D),9/13 - 9/16,50.5,42.0
PPP (D)PPP (D),2/21 - 2/24,52.0,42.0
