DC	MT	6163502.00
NJ	ID	1128238.00
MN	PA	1907811.00
VT	IL	7404725.00
MS	IN	358028.00
CA	WY	1847817.00
CT	PA	7401416.00
NM	KS	231571.00
RI	WV	191600.00
SC	ID	150648.00
OK	MT	517103.00
CO	NM	4831883.00
WV	NM	70650.00
VA	TN	10921291.00
VA	SD	4642032.00
MI	WA	1564097.00
MT	KS	75515.00
MA	OH	17203677.00
PR	AK	2208192.00
TX	OH	27165688.00
UT	WA	678827.00
EN	NY	500.00
NH	AK	110640.00
NE	OK	144500.00
NE	DC	347406.00
AK	TX	435167.00
AK	MA	2086738.00
MS	RI	199101.00
GU	MN	11870.00
MS	CA	726501.00
OR	CT	305520.00
AL	OK	794080.00
ZZ	MI	6150.00
AR	IL	4201285.00
OR	MN	970621.00
ZZ	UT	34390.00
RI	WY	31600.00
ID	AK	284870.00
CA	WV	4981346.00
ND	DE	7700.00
NY	VT	17140854.00
KY	OH	7841268.00
AL	DC	3388271.00
WI	ID	119990.00
AA	LA	3000.00
AK	KY	319169.00
IN	WV	631813.00
OH	FL	10028532.00
VA	AL	12102483.00
GA	MS	1293348.00
TN	IA	1754132.00
SD	IA	2980516.00
MI	OK	1412409.00
NC	AZ	1593752.00
UK	VA	5925.00
UT	DC	1304942.00
LA	MD	2153759.00
MA	NE	775161.00
MI	DC	28112368.00
KS	NV	781726.00
TX	NE	4561316.00
NV	IL	9095488.00
ZZ	SD	87800.00
ZZ	TN	40500.00
UT	OK	341684.00
CT	ND	840768.00
HI	AK	96950.00
SD	FL	376018.00
TN	FL	6006433.00
WY	NM	469500.00
NE	WA	262304.00
MN	ND	3654099.00
NC	NJ	1504785.00
KS	AR	703809.00
ME	MS	53300.00
MO	AK	797383.00
NY	LA	8388866.00
AA	VT	7585.00
AL	WA	327296.00
NC	WI	2619612.00
AZ	ID	810837.00
KY	NE	122498.00
MD	MT	3498464.00
IN	WY	260369.00
VA	MI	27864352.00
VA	UT	15343043.00
OH	IA	2050292.00
HI	AL	26650.00
NC	IN	1582573.00
UT	IA	357287.00
AZ	LA	987814.00
TN	DC	2077776.00
GA	AS	12008.00
SD	DC	662881.00
DE	VI	3250.00
WY	CT	260550.00
WI	VT	1603702.00
NY	ID	3586907.00
MO	AL	816588.00
WY	MN	317160.00
TN	OK	728550.00
ID	TN	95827.00
ID	SD	49101.00
SD	OK	51750.00
ME	CO	326372.00
MI	IA	1869012.00
KS	VA	3330842.00
NV	MD	1277039.00
CA	NC	26082954.00
IA	SC	129585.00
IS	MA	250.00
WA	MT	3211092.00
LA	IL	6849398.00
NH	TN	181980.00
NH	SD	92320.00
IL	NY	37059880.00
PR	SD	6500.00
PR	TN	28950.00
OH	OK	1617492.00
NC	RI	203640.00
AP	NC	1650.00
RI	NC	601591.00
OH	DC	4028103.00
GA	CO	1860164.00
AS	CT	2000.00
VA	AK	14345037.00
HI	MI	49312.00
NJ	VT	3247361.00
UK	AR	11651.00
UT	FL	1947220.00
DE	DE	43729274.00
AK	NE	52350.00
HI	UT	166748.00
NC	CA	3575296.00
MO	MI	1664998.00
MI	FL	11484306.00
MO	UT	1935089.00
FL	NY	84633296.00
SC	VT	615468.00
TX	TX	1465340669.00
WI	LA	315853.00
TX	MA	87242130.00
MA	MA	494723737.00
MA	TX	6807127.00
NH	AL	95350.00
VT	MD	186751.00
GA	GU	12400.00
GU	NM	3000.00
TN	WA	844622.00
KS	NH	242252.00
PR	UT	685400.00
SD	WA	79700.00
AZ	VT	2036257.00
NE	FL	779159.00
GA	OR	1617757.00
FF	MA	61200.00
FF	TX	60.00
PR	MI	55512.00
TX	KY	19957118.00
MA	KY	4967799.00
ID	AL	43050.00
VI	DE	8900.00
MO	SD	982752.00
MO	TN	809124.00
IA	NY	2509481.00
PA	VI	172000.00
AL	FL	5618822.00
HI	TN	48395.00
HI	SD	73234.00
IL	SC	4249642.00
OR	NM	529245.00
MS	AZ	209396.00
VI	VI	3697854.00
KY	TX	1886317.00
ID	MI	267215.00
MS	NJ	282995.00
KY	MA	7665784.00
ID	UT	797518.00
ZZ	AK	7150.00
OH	WA	1760062.00
IN	NC	1571085.00
PA	DE	8937280.00
