Poll,Date,Sample,Kerry (D),Bush (R),Spread
Final Results,--,--,48.3,50.7,Bush +2.4
RCP Average,10/27 - 11/1,--,47.4,48.9,Bush +1.5
MaristMarist,11/1 - 11/1,--,50,49,Kerry +1
GW/BattlegroundGW/Battleground,10/31 - 11/1,--,46,50,Bush +4
IBD/TIPPIBD/TIPP,10/30 - 11/1,--,48,50.1,Bush +2.1
CBS NewsCBS News,10/29 - 11/1,--,47,49,Bush +2
HarrisHarris,10/29 - 11/1,--,48,49,Bush +1
FOX NewsFOX News,10/30 - 10/31,--,48,46,Kerry +2
Reuters/ZogbyReuters/Zogby,10/29 - 10/31,--,47,48,Bush +1
CNN/USA Today/GallupCNN/USA Today/Gallup,10/29 - 10/31,--,49,49,Tie
NBC/WSJNBC/WSJ,10/29 - 10/31,--,47,48,Bush +1
ABC/Wash PostABC/Wash Post,10/28 - 10/31,--,48,49,Bush +1
ARGARG,10/28 - 10/30,--,48,48,Tie
CBS News/NY TimesCBS News/NY Times,10/28 - 10/30,--,46,49,Bush +3
Pew ResearchPew Research,10/27 - 10/30,--,48,51,Bush +3
NewsweekNewsweek,10/27 - 10/29,--,44,50,Bush +6
GW/BattlegroundGW/Battleground,10/25 - 10/28,--,46,51,Bush +5
ICRICR,10/22 - 10/26,--,45,48,Bush +3
CNN/USA Today/GallupCNN/USA Today/Gallup,10/22 - 10/24,--,46,51,Bush +5
LA TimesLA Times,10/21 - 10/24,--,48,48,Tie
NewsweekNewsweek,10/21 - 10/22,--,46,48,Bush +2
TimeTime,10/19 - 10/21,--,46,51,Bush +5
GW/BattlegroundGW/Battleground,10/18 - 10/21,--,45,49,Bush +4
AP-IpsosAP-Ipsos,10/18 - 10/20,--,49,46,Kerry +3
MaristMarist,10/17 - 10/19,--,48,49,Bush +1
FOX NewsFOX News,10/17 - 10/18,--,42,49,Bush +7
Pew ResearchPew Research,10/15 - 10/19,--,47,47,Tie
ABC/Wash PostABC/Wash Post,10/16 - 10/18,--,46,51,Bush +5
NBC/WSJNBC/WSJ,10/16 - 10/18,--,48,48,Tie
HarrisHarris,10/14 - 10/17,--,44.5,49.5,Bush +5
CBS News/NY TimesCBS News/NY Times,10/14 - 10/17,--,45,47,Bush +2
CNN/USA Today/GallupCNN/USA Today/Gallup,10/14 - 10/16,--,44,52,Bush +8
TimeTime,10/14 - 10/15,--,47,48,Bush +1
NewsweekNewsweek,10/14 - 10/15,--,44,50,Bush +6
GW/BattlegroundGW/Battleground,10/11 - 10/14,--,46,49,Bush +3
ABC/Wash PostABC/Wash Post,10/11 - 10/13,--,48,48,Tie
ZogbyZogby,10/9 - 10/11,--,45,45,Tie
CBS NewsCBS News,10/9 - 10/11,--,45,48,Bush +3
ICRICR,10/9 - 10/11,--,43,48,Bush +5
CNN/USA Today/GallupCNN/USA Today/Gallup,10/9 - 10/10,--,49,48,Kerry +1
TimeTime,10/6 - 10/7,--,45,46,Bush +1
GW/BattlegroundGW/Battleground,10/3 - 10/7,--,46,49,Bush +3
AP-IpsosAP-Ipsos,10/4 - 10/6,--,50,46,Kerry +4
MaristMarist,10/4 - 10/5,--,46,49,Bush +3
FOX NewsFOX News,10/3 - 10/4,--,45,47,Bush +2
ICRICR,10/1 - 10/5,--,45,51,Bush +6
ARGARG,10/2 - 10/4,--,46,46,Tie
ABC News/Wash PostABC News/Wash Post,10/1 - 10/3,--,46,51,Bush +5
CBS News/NY TimesCBS News/NY Times,10/1 - 10/3,--,47,47,Tie
ZogbyZogby,10/1 - 10/3,--,43,46,Bush +3
Pew ResearchPew Research,10/1 - 10/3,--,44,49,Bush +5
CNN/USA Today/GallupCNN/USA Today/Gallup,10/1 - 10/3,--,49,49,Tie
NewsweekNewsweek,9/30 - 10/2,--,47,45,Kerry +2
Sacred Heart UnivSacred Heart Univ,9/27 - 10/2,--,43,48,Bush +5
BattlegroundBattleground,9/27 - 9/30,--,44,51,Bush +7
LA TimesLA Times,9/25 - 9/28,--,45,51,Bush +6
CNN/USA Today/GallupCNN/USA Today/Gallup,9/24 - 9/26,--,44,52,Bush +8
IBD/TIPPIBD/TIPP,9/22 - 9/27,--,45,45,Tie
ABC News/Wash PostABC News/Wash Post,9/23 - 9/26,--,45,51,Bush +6
Pew ResearchPew Research,9/22 - 9/26,--,40,48,Bush +8
TimeTime,9/21 - 9/23,--,42,48,Bush +6
FOX NewsFOX News,9/21 - 9/22,--,42,46,Bush +4
BattlegroundBattleground,9/20 - 9/23,--,45,50,Bush +5
MaristMarist,9/20 - 9/22,--,44,50,Bush +6
CBS NewsCBS News,9/20 - 9/22,--,42,51,Bush +9
AP-IpsosAP-Ipsos,9/20 - 9/22,--,45,52,Bush +7
Pew ResearchPew Research,9/17 - 9/21,--,42,45,Bush +3
NBC/WSJNBC/WSJ,9/17 - 9/19,--,46,50,Bush +4
ZogbyZogby,9/17 - 9/19,--,43,46,Bush +3
IBD/TIPPIBD/TIPP,9/14 - 9/18,--,42,45,Bush +3
ARGARG,9/7 - 9/21,--,46,47,Bush +1
CBS NewsCBS News,9/12 - 9/16,--,41,50,Bush +9
CNN/USA Today/GallupCNN/USA Today/Gallup,9/13 - 9/15,--,40,54,Bush +14
BattlegroundBattleground,9/12 - 9/15,--,45,49,Bush +4
Pew ResearchPew Research,9/11 - 9/14,--,46,47,Bush +1
HarrisHarris,9/9 - 9/13,--,48,47,Kerry +1
NewsweekNewsweek,9/9 - 9/10,--,43,49,Bush +6
IBD/TIPPIBD/TIPP,9/7 - 9/12,--,46,46,Tie
ZogbyZogby,9/8 - 9/9,--,42,46,Bush +4
TimeTime,9/7 - 9/9,--,41,52,Bush +11
AP-IpsosAP-Ipsos,9/7 - 9/9,--,46,51,Bush +5
FOX NewsFOX News,9/7 - 9/8,--,43,47,Bush +4
ABC News/Wash PostABC News/Wash Post,9/6 - 9/8,--,43,52,Bush +9
Pew ResearchPew Research,9/8 - 9/10,--,38,54,Bush +16
CBS NewsCBS News,9/6 - 9/8,--,42,49,Bush +7
CNN/USA Today/GallupCNN/USA Today/Gallup,9/3 - 9/5,--,45,52,Bush +7
NewsweekNewsweek,9/2 - 9/3,--,41,52,Bush +11
TimeTime,8/31 - 9/2,--,41,52,Bush +11
ZogbyZogby,8/30 - 9/2,--,43,46,Bush +3
ARGARG,8/30 - 9/1,--,47,47,Tie
ABC News/Wash PostABC News/Wash Post,8/26 - 8/29,--,48,48,Tie
TimeTime,8/24 - 8/26,--,44,46,Bush +2
FOX NewsFOX News,8/24 - 8/25,--,44,43,Kerry +1
CNN/USA Today/GallupCNN/USA Today/Gallup,8/23 - 8/25,--,46,48,Bush +2
NBC/WSJNBC/WSJ,8/23 - 8/25,--,45,47,Bush +2
NPR - POS/GQRNPR - POS/GQR,8/21 - 8/24,--,47,43,Kerry +4
LA TimesLA Times,8/21 - 8/24,--,44,47,Bush +3
IBD/TIPPIBD/TIPP,8/17 - 8/23,--,43,43,Tie
BattlegroundBattleground,8/15 - 8/17,--,44,43,Kerry +1
CBS NewsCBS News,8/15 - 8/18,--,46,45,Kerry +1
HarrisHarris,8/10 - 8/15,--,47,47,Tie
ZogbyZogby,8/12 - 8/14,--,47,43,Kerry +4
GallupGallup,8/9 - 8/11,--,46,48,Bush +2
Pew ResearchPew Research,8/5 - 8/10,--,47,45,Kerry +2
TimeTime,8/3 - 8/5,--,48,43,Kerry +5
AP-IpsosAP-Ipsos,8/3 - 8/5,--,48,45,Kerry +3
Democracy Corps (D)Democracy Corps (D),8/2 - 8/5,--,49,44,Kerry +5
IBD/TIPPIBD/TIPP,8/2 - 8/5,--,45,42,Kerry +3
FOX NewsFOX News,8/3 - 8/4,--,47,43,Kerry +4
MaristMarist,7/30 - 8/2,--,47,47,Tie
CBS NewsCBS News,7/31 - 8/1,--,48,43,Kerry +5
