Poll,Date,Sample,Clinton (D),Trump (R),Johnson (L),Stein (G),Spread,,Clinton (D),Trump (R)
Final Results,--,--,48.2,46.1,3.3,1.1,Clinton +2.1,,,
RCP Average,11/2 - 11/7,--,45.5,42.2,4.7,1.9,Clinton +3.3,,,
BloombergBloomberg,11/4 - 11/6,799 LV,44,41,4,2,Clinton +3,,45.4,42.8
IBD/TIPP TrackingIBD/TIPP Tracking,11/4 - 11/7,1026 LV,43,45,8,2,Trump +2,,46.6,43.4
Economist/YouGovEconomist,11/4 - 11/7,3677 LV,45,41,5,2,Clinton +4,,47.4,43
ABC/Wash Post TrackingABC/WP Tracking,11/3 - 11/6,2220 LV,47,43,4,1,Clinton +4,,47.2,42.8
FOX NewsFOX News,11/3 - 11/6,1295 LV,48,44,3,2,Clinton +4,,46.2,42
MonmouthMonmouth,11/3 - 11/6,748 LV,50,44,4,1,Clinton +6,,45.6,41.8
GravisGravis,11/3 - 11/6,16639 RV,47,43,3,2,Clinton +4,,44.6,41.2
NBC News/Wall St. JrnlNBC/WSJ,11/3 - 11/5,1282 LV,44,40,6,2,Clinton +4,,44,41.2
Reuters/IpsosReuters,11/2 - 11/6,2196 LV,42,39,6,3,Clinton +3,,44.2,41.8
Rasmussen ReportsRasmussen,11/2 - 11/6,1500 LV,45,43,4,2,Clinton +2,,45.2,43
CBS NewsCBS News,11/2 - 11/6,1426 LV,45,41,5,2,Clinton +4,,45.6,42.6
McClatchy/MaristMcClatchy,11/1 - 11/3,940 LV,44,43,6,2,Clinton +1,,45.2,42.2
FOX NewsFOX News,11/1 - 11/3,1107 LV,45,43,5,2,Clinton +2,,45.6,42.6
GravisGravis,11/1 - 11/2,2435 RV,47,45,3,1,Clinton +2,,45.8,42.6
NBC News/SMNBC News,10/31 - 11/6,30145 LV,47,41,6,3,Clinton +6,,45.4,41
Reuters/IpsosReuters,10/31 - 11/4,2244 LV,43,39,6,2,Clinton +4,,45,41.2
GravisGravis,10/31 - 10/31,5360 RV,46,45,4,2,Clinton +1,,45.4,42.6
Economist/YouGovEconomist,10/30 - 11/1,1233 LV,46,43,4,2,Clinton +3,,45.2,42
Reuters/IpsosReuters,10/29 - 11/2,1858 LV,45,37,5,2,Clinton +8,,45,42.2
CBS News/NY TimesCBS/NYT,10/28 - 11/1,1333 LV,45,42,5,4,Clinton +3,,45.4,43
ABC/Wash Post TrackingABC/WP Tracking,10/27 - 10/30,1128 LV,45,46,3,2,Trump +1,,45.6,43.6
Rasmussen ReportsRasmussen,10/26 - 10/30,1500 LV,45,42,5,2,Clinton +3,,45.6,43.2
IBD/TIPP TrackingIBD/TIPP Tracking,10/25 - 10/30,1039 LV,45,44,4,2,Clinton +1,,45.6,43
NBC News/SMNBC News,10/24 - 10/30,40816 LV,47,41,6,3,Clinton +6,,46.2,43
GravisGravis,10/25 - 10/26,1824 RV,46,45,3,1,Clinton +1,,46,43
Rasmussen ReportsRasmussen,10/24 - 10/26,1500 LV,45,44,4,1,Clinton +1,,45.6,42.2
IBD/TIPP TrackingIBD/TIPP Tracking,10/23 - 10/28,1013 LV,45,41,7,2,Clinton +4,,45,41.6
ABC/Wash Post TrackingABC/WP Tracking,10/23 - 10/26,1109 LV,48,44,4,1,Clinton +4,,45.2,41.4
Economist/YouGovEconomist,10/22 - 10/26,1209 LV,46,41,4,2,Clinton +5,,45.4,40.6
FOX NewsFOX News,10/22 - 10/25,1221 LV,44,41,7,3,Clinton +3,,44.8,39.2
IBD/TIPP TrackingIBD/TIPP Tracking,10/20 - 10/25,921 LV,42,41,8,3,Clinton +1,,45.4,38.6
Pew ResearchPew,10/20 - 10/25,2120 RV,46,40,6,3,Clinton +6,,47.2,37.8
ABC News TrackingABC News Tracking,10/21 - 10/24,1119 LV,49,40,5,2,Clinton +9,,46.6,38.2
CNBCCNBC,10/21 - 10/24,LV,43,34,7,2,Clinton +9,,45.2,37.8
USA Today/SuffolkUSA Today,10/20 - 10/24,1000 LV,47,38,4,2,Clinton +9,,46.6,38.6
Associated Press-GfKAP-GfK,10/20 - 10/24,1212 LV,51,37,6,2,Clinton +14,,45.6,39.2
Rasmussen ReportsRasmussen,10/20 - 10/24,1500 LV,43,42,5,2,Clinton +1,,45.2,40.6
Reuters/IpsosReuters,10/20 - 10/24,1170 LV,42,38,7,2,Clinton +4,,45.8,40.4
ABC News TrackingABC News Tracking,10/20 - 10/23,611 LV,50,38,5,2,Clinton +12,,46.8,40.8
IBD/TIPP TrackingIBD/TIPP Tracking,10/19 - 10/24,815 LV,42,41,8,3,Clinton +1,,45.2,40.8
CNN/ORCCNN/ORC,10/20 - 10/23,779 LV,49,44,3,2,Clinton +5,,45.8,40.4
NBC News/SMNBC News,10/17 - 10/23,32225 LV,46,41,7,3,Clinton +5,,45.4,39.2
QuinnipiacQuinnipiac,10/17 - 10/18,1007 LV,47,40,7,1,Clinton +7,,44.6,38.6
Economist/YouGovEconomist,10/15 - 10/18,925 RV,42,38,6,1,Clinton +4,,45.2,38.2
FOX NewsFOX News,10/15 - 10/17,912 LV,45,39,5,3,Clinton +6,,46.2,38.2
BloombergBloomberg,10/14 - 10/17,1006 LV,47,38,8,3,Clinton +9,,46.4,38.4
Reuters/IpsosReuters,10/13 - 10/17,1190 LV,42,38,6,2,Clinton +4,,46.2,38
MonmouthMonmouth,10/14 - 10/16,726 LV,50,38,5,2,Clinton +12,,46,39
CBS NewsCBS News,10/12 - 10/16,1189 LV,47,38,8,3,Clinton +9,,45.4,40
NBC News/SMNBC News,10/10 - 10/16,24804 LV,46,40,8,4,Clinton +6,,45.6,39.8
Boston GlobeBoston Globe,10/11 - 10/14,845 LV,46,36,5,2,Clinton +10,,45.4,39.4
Rasmussen ReportsRasmussen,10/11 - 10/13,1500 LV,41,43,6,2,Trump +2,,45.6,40
ABC News/Wash PostABC/WP,10/10 - 10/13,740 LV,47,43,5,2,Clinton +4,,46.6,38.8
NBC News/Wall St. JrnlNBC/WSJ,10/10 - 10/13,905 LV,48,37,7,2,Clinton +11,,46,37.6
FOX NewsFOX News,10/10 - 10/12,917 LV,45,38,7,3,Clinton +7,,45.6,37.2
GWU/BattlegroundGWU/Battleground,10/8 - 10/13,1000 LV,47,39,8,2,Clinton +8,,45.4,37.4
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/10,806 LV,46,37,8,2,Clinton +9,,44.8,37.2
Reuters/IpsosReuters,10/6 - 10/10,2363 LV,44,37,6,2,Clinton +7,,44.6,37.8
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/9,447 LV,46,35,9,2,Clinton +11,,45,38.6
Rasmussen ReportsRasmussen,10/6 - 10/10,1500 LV,44,39,7,2,Clinton +5,,44.6,40
Economist/YouGovEconomist,10/7 - 10/8,971 RV,44,38,5,1,Clinton +6,,44,40.6
QuinnipiacQuinnipiac,10/5 - 10/6,1064 LV,45,40,6,3,Clinton +5,,44,41.8
NBC News/SMNBC News,10/3 - 10/9,23329 LV,46,41,8,3,Clinton +5,,43.6,41.8
FOX NewsFOX News,10/3 - 10/6,896 LV,44,42,6,2,Clinton +2,,42.8,40.8
Rasmussen ReportsRasmussen,10/2 - 10/4,1500 LV,41,42,8,2,Trump +1,,43.4,40.8
GravisGravis,10/3 - 10/3,1690 RV,44,44,5,1,Tie,,43.8,40.4
Economist/YouGovEconomist,10/1 - 10/3,911 RV,43,40,5,3,Clinton +3,,44,39.8
Reuters/IpsosReuters,9/29 - 10/3,1239 LV,42,36,8,2,Clinton +6,,44,39.8
CNN/ORCCNN/ORC,9/28 - 10/2,1213 LV,47,42,7,2,Clinton +5,,44.8,40.6
Rasmussen ReportsRasmussen,9/28 - 10/2,1500 LV,43,40,8,2,Clinton +3,,44,40.6
CBS NewsCBS News,9/28 - 10/2,1217 LV,45,41,8,3,Clinton +4,,44.2,40.6
FOX NewsFOX News,9/27 - 9/29,911 LV,43,40,8,4,Clinton +3,,43.6,40.6
NBC News/SMNBC News,9/26 - 10/2,26925 LV,46,40,9,3,Clinton +6,,43.4,40.2
Rasmussen ReportsRasmussen,9/27 - 9/29,1500 LV,43,42,6,2,Clinton +1,,43,40.8
PPP (D)PPP (D),9/27 - 9/28,933 LV,44,40,6,1,Clinton +4,,42.6,41
Rasmussen ReportsRasmussen,9/26 - 9/28,1500 LV,42,41,7,2,Clinton +1,,43,41.4
Reuters/IpsosReuters,9/22 - 9/26,1041 LV,42,38,7,2,Clinton +4,,43.4,41.4
QuinnipiacQuinnipiac,9/22 - 9/25,1115 LV,44,43,8,2,Clinton +1,,44,41.8
BloombergBloomberg,9/21 - 9/24,1002 LV,41,43,8,4,Trump +2,,44.4,42
MonmouthMonmouth,9/22 - 9/25,729 LV,46,42,8,2,Clinton +4,,44,42.2
Economist/YouGovEconomist,9/22 - 9/24,948 RV,44,41,5,2,Clinton +3,,43.6,41.8
NBC News/SMNBC News,9/19 - 9/25,13598 LV,45,40,10,3,Clinton +5,,42.8,41.2
ABC News/Wash PostABC/WP,9/19 - 9/22,651 LV,46,44,5,1,Clinton +2,,41.2,41
Rasmussen ReportsRasmussen,9/20 - 9/21,1000 LV,39,44,8,2,Trump +5,,41,40
GravisGravis,9/20 - 9/20,1560 LV,44,40,5,2,Clinton +4,,41.8,38.6
Economist/YouGovEconomist,9/18 - 9/19,936 RV,40,38,7,2,Clinton +2,,42,38.4
Reuters/IpsosReuters,9/15 - 9/19,1111 LV,37,39,7,2,Trump +2,,43,38.8
McClatchy/MaristMcClatchy,9/15 - 9/20,758 LV,45,39,10,4,Clinton +6,,43.8,39
NBC News/Wall St. JrnlNBC/WSJ,9/16 - 9/19,922 LV,43,37,9,2,Clinton +6,,42.8,39.6
Associated Press-GfKAP-GfK,9/15 - 9/16,1251 LV,45,39,9,2,Clinton +6,,42.6,40.6
NBC News/SMNBC News,9/12 - 9/18,13320 LV,45,40,10,4,Clinton +5,,42,40.8
FOX NewsFOX News,9/11 - 9/14,867 LV,41,40,8,3,Clinton +1,,41.2,40.6
Rasmussen ReportsRasmussen,9/12 - 9/13,1000 LV,40,42,7,2,Trump +2,,40.8,40.4
CBS News/NY TimesCBS/NYT,9/9 - 9/13,1433 LV,42,42,8,4,Tie,,41.2,40
Economist/YouGovEconomist,9/10 - 9/13,926 RV,42,40,5,3,Clinton +2,,41.4,39.6
QuinnipiacQuinnipiac,9/8 - 9/13,960 LV,41,39,13,4,Clinton +2,,42.2,39.8
Reuters/IpsosReuters,9/8 - 9/12,1127 LV,39,39,8,2,Tie,,42.6,39.8
NBC News/SMNBC News,9/5 - 9/11,16220 RV,42,40,11,4,Clinton +2,,42.8,39.6
