Poll,Date,Sample,Obama (D),Romney (R),Spread
,,,,,
Final Results,--,--,51.1,47.2,Obama +3.9
,,,,,
RCP Average,10/31 - 11/5,--,48.8,48.1,Obama +0.7
,,,,,
Politico/GWU/BattlegroundPolitico/GWU/Battleground,11/4 - 11/5,1000 LV,47,47,Tie
,,,,,
Rasmussen ReportsRasmussen Reports,11/3 - 11/5,1500 LV,48,49,Romney +1
,,,,,
IBD/TIPPIBD/TIPP,11/3 - 11/5,712 LV,50,49,Obama +1
,,,,,
CNN/Opinion ResearchCNN/Opinion Research,11/2 - 11/4,693 LV,49,49,Tie
,,,,,
GallupGallup,11/1 - 11/4,2700 LV,49,50,Romney +1
,,,,,
ABC News/Wash PostABC News/Wash Post,11/1 - 11/4,2345 LV,50,47,Obama +3
,,,,,
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,11/1 - 11/4,1417 LV,48,48,Tie
,,,,,
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,11/1 - 11/3,1475 LV,48,47,Obama +1
,,,,,
Pew ResearchPew Research,10/31 - 11/3,2709 LV,50,47,Obama +3
,,,,,
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/29 - 11/1,1000 LV,48,48,Tie
,,,,,
FOX NewsFOX News,10/28 - 10/30,1128 LV,46,46,Tie
,,,,,
CBS News/NY TimesCBS News/NY Times,10/25 - 10/28,563 LV,48,47,Obama +1
,,,,,
Pew ResearchPew Research,10/24 - 10/28,1495 LV,47,47,Tie
,,,,,
National JournalNational Journal,10/25 - 10/28,713 LV,50,45,Obama +5
,,,,,
NPRNPR,10/23 - 10/25,1000 LV,47,48,Romney +1
,,,,,
IBD/TIPPIBD/TIPP,10/22 - 10/27,930 LV,45,44,Obama +1
,,,,,
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/22 - 10/25,1000 LV,49,48,Obama +1
,,,,,
Associated Press/GfKAssociated Press/GfK,10/19 - 10/23,839 LV,45,47,Romney +2
,,,,,
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,10/18 - 10/21,1402 LV,45,48,Romney +3
,,,,,
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/17 - 10/20,816 LV,47,47,Tie
,,,,,
CBS NewsCBS News,10/17 - 10/20,790 LV,48,46,Obama +2
,,,,,
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,10/18 - 10/20,800 LV,50,47,Obama +3
,,,,,
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/15 - 10/18,1000 LV,47,49,Romney +2
,,,,,
Hartford Courant/UConnHartford Courant/UConn,10/11 - 10/16,1023 LV,48,45,Obama +3
,,,,,
ABC News/Wash PostABC News/Wash Post,10/10 - 10/13,923 LV,49,46,Obama +3
,,,,,
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/7 - 10/11,1000 LV,49,48,Obama +1
,,,,,
Monmouth/SurveyUSA/BraunMonmouth/SurveyUSA/Braun,10/8 - 10/10,1360 LV,46,47,Romney +1
,,,,,
FOX NewsFOX News,10/7 - 10/9,1109 LV,45,46,Romney +1
,,,,,
Gallup TrackingGallup Tracking,10/4 - 10/10,2700 LV,47,48,Romney +1
,,,,,
Gallup TrackingGallup Tracking,10/4 - 10/10,3050 RV,48,46,Obama +2
,,,,,
Pew ResearchPew Research,10/4 - 10/7,1112 LV,45,49,Romney +4
,,,,,
Rasmussen TrackingRasmussen Tracking,10/4 - 10/6,1500 LV,47,49,Romney +2
,,,,,
WashTimes/JZ Analytics*WashTimes/JZ Analytics*,10/5 - 10/7,800 LV,45,45,Tie
,,,,,
Politico/GWU/BattlegroundPolitico/GWU/Battleground,10/1 - 10/4,1000 LV,49,48,Obama +1
,,,,,
Rasmussen TrackingRasmussen Tracking,10/1 - 10/3,1500 LV,49,47,Obama +2
,,,,,
Gallup TrackingGallup Tracking,9/27 - 10/3,3050 RV,49,45,Obama +4
,,,,,
CNN/Opinion ResearchCNN/Opinion Research,9/28 - 9/30,783 LV,50,47,Obama +3
,,,,,
National JournalNational Journal,9/27 - 9/30,789 LV,47,47,Tie
,,,,,
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,9/26 - 9/30,832 LV,49,46,Obama +3
,,,,,
