Poll,Date,Sample,Clinton (D),Trump (R),Johnson (L),Stein (G),Spread
,,,,,,,
Final Results,--,--,48.2,46.1,3.3,1.1,Clinton +2.1
,,,,,,,
RCP Average,11/2 - 11/7,--,45.5,42.2,4.7,1.9,Clinton +3.3
,,,,,,,
BloombergBloomberg,11/4 - 11/6,799 LV,44,41,4,2,Clinton +3
,,,,,,,
IBD/TIPP TrackingIBD/TIPP Tracking,11/4 - 11/7,1026 LV,43,45,8,2,Trump +2
,,,,,,,
Economist/YouGovEconomist,11/4 - 11/7,3677 LV,45,41,5,2,Clinton +4
,,,,,,,
ABC/Wash Post TrackingABC/WP Tracking,11/3 - 11/6,2220 LV,47,43,4,1,Clinton +4
,,,,,,,
FOX NewsFOX News,11/3 - 11/6,1295 LV,48,44,3,2,Clinton +4
,,,,,,,
MonmouthMonmouth,11/3 - 11/6,748 LV,50,44,4,1,Clinton +6
,,,,,,,
GravisGravis,11/3 - 11/6,16639 RV,47,43,3,2,Clinton +4
,,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,11/3 - 11/5,1282 LV,44,40,6,2,Clinton +4
,,,,,,,
Reuters/IpsosReuters,11/2 - 11/6,2196 LV,42,39,6,3,Clinton +3
,,,,,,,
Rasmussen ReportsRasmussen,11/2 - 11/6,1500 LV,45,43,4,2,Clinton +2
,,,,,,,
CBS NewsCBS News,11/2 - 11/6,1426 LV,45,41,5,2,Clinton +4
,,,,,,,
McClatchy/MaristMcClatchy,11/1 - 11/3,940 LV,44,43,6,2,Clinton +1
,,,,,,,
FOX NewsFOX News,11/1 - 11/3,1107 LV,45,43,5,2,Clinton +2
,,,,,,,
GravisGravis,11/1 - 11/2,2435 RV,47,45,3,1,Clinton +2
,,,,,,,
NBC News/SMNBC News,10/31 - 11/6,30145 LV,47,41,6,3,Clinton +6
,,,,,,,
Reuters/IpsosReuters,10/31 - 11/4,2244 LV,43,39,6,2,Clinton +4
,,,,,,,
GravisGravis,10/31 - 10/31,5360 RV,46,45,4,2,Clinton +1
,,,,,,,
Economist/YouGovEconomist,10/30 - 11/1,1233 LV,46,43,4,2,Clinton +3
,,,,,,,
Reuters/IpsosReuters,10/29 - 11/2,1858 LV,45,37,5,2,Clinton +8
,,,,,,,
CBS News/NY TimesCBS/NYT,10/28 - 11/1,1333 LV,45,42,5,4,Clinton +3
,,,,,,,
ABC/Wash Post TrackingABC/WP Tracking,10/27 - 10/30,1128 LV,45,46,3,2,Trump +1
,,,,,,,
Rasmussen ReportsRasmussen,10/26 - 10/30,1500 LV,45,42,5,2,Clinton +3
,,,,,,,
IBD/TIPP TrackingIBD/TIPP Tracking,10/25 - 10/30,1039 LV,45,44,4,2,Clinton +1
,,,,,,,
NBC News/SMNBC News,10/24 - 10/30,40816 LV,47,41,6,3,Clinton +6
,,,,,,,
GravisGravis,10/25 - 10/26,1824 RV,46,45,3,1,Clinton +1
,,,,,,,
Rasmussen ReportsRasmussen,10/24 - 10/26,1500 LV,45,44,4,1,Clinton +1
,,,,,,,
IBD/TIPP TrackingIBD/TIPP Tracking,10/23 - 10/28,1013 LV,45,41,7,2,Clinton +4
,,,,,,,
ABC/Wash Post TrackingABC/WP Tracking,10/23 - 10/26,1109 LV,48,44,4,1,Clinton +4
,,,,,,,
Economist/YouGovEconomist,10/22 - 10/26,1209 LV,46,41,4,2,Clinton +5
,,,,,,,
FOX NewsFOX News,10/22 - 10/25,1221 LV,44,41,7,3,Clinton +3
,,,,,,,
IBD/TIPP TrackingIBD/TIPP Tracking,10/20 - 10/25,921 LV,42,41,8,3,Clinton +1
,,,,,,,
Pew ResearchPew,10/20 - 10/25,2120 RV,46,40,6,3,Clinton +6
,,,,,,,
ABC News TrackingABC News Tracking,10/21 - 10/24,1119 LV,49,40,5,2,Clinton +9
,,,,,,,
CNBCCNBC,10/21 - 10/24,LV,43,34,7,2,Clinton +9
,,,,,,,
USA Today/SuffolkUSA Today,10/20 - 10/24,1000 LV,47,38,4,2,Clinton +9
,,,,,,,
Associated Press-GfKAP-GfK,10/20 - 10/24,1212 LV,51,37,6,2,Clinton +14
,,,,,,,
Rasmussen ReportsRasmussen,10/20 - 10/24,1500 LV,43,42,5,2,Clinton +1
,,,,,,,
Reuters/IpsosReuters,10/20 - 10/24,1170 LV,42,38,7,2,Clinton +4
,,,,,,,
ABC News TrackingABC News Tracking,10/20 - 10/23,611 LV,50,38,5,2,Clinton +12
,,,,,,,
IBD/TIPP TrackingIBD/TIPP Tracking,10/19 - 10/24,815 LV,42,41,8,3,Clinton +1
,,,,,,,
CNN/ORCCNN/ORC,10/20 - 10/23,779 LV,49,44,3,2,Clinton +5
,,,,,,,
